question,column,row_in_column,option,x_472,y_472,x_480,y_480,dx_480_minus_472,dy_480_minus_472,distance_px,answer_472,status_472,answer_480,status_480,decision_changed
10,1,10,C,301.0,1082.0,293.0,1084.0,-8.0,2.0,8.246211251235321,B,answered,B,answered,False
10,1,10,D,336.0,1082.0,328.0,1084.0,-8.0,2.0,8.246211251235321,B,answered,B,answered,False
11,1,11,A,231.0,1112.0,224.0,1114.0,-7.0,2.0,7.280109889280518,A,answered,A,answered,False
11,1,11,B,269.0,1111.0,259.0,1114.0,-10.0,3.0,10.44030650891055,A,answered,A,answered,False
11,1,11,C,302.0,1112.0,293.0,1114.0,-9.0,2.0,9.219544457292887,A,answered,A,answered,False
11,1,11,D,337.0,1112.0,328.0,1114.0,-9.0,2.0,9.219544457292887,A,answered,A,answered,False
12,1,12,A,231.0,1138.0,224.0,1141.0,-7.0,3.0,7.615773105863909,D,answered,D,answered,False
12,1,12,B,268.0,1138.0,259.0,1142.0,-9.0,4.0,9.848857801796104,D,answered,D,answered,False
12,1,12,C,302.0,1137.0,293.0,1142.0,-9.0,5.0,10.295630140987,D,answered,D,answered,False
12,1,12,D,336.0,1137.0,328.0,1142.0,-8.0,5.0,9.433981132056603,D,answered,D,answered,False
13,1,13,A,231.0,1167.0,224.0,1170.0,-7.0,3.0,7.615773105863909,A,answered,A,answered,False
13,1,13,B,268.0,1166.0,259.0,1171.0,-9.0,5.0,10.295630140987,A,answered,A,answered,False
13,1,13,C,302.0,1166.0,293.0,1171.0,-9.0,5.0,10.295630140987,A,answered,A,answered,False
13,1,13,D,336.0,1166.0,330.0,1170.0,-6.0,4.0,7.211102550927978,A,answered,A,answered,False
14,1,14,A,232.0,1196.0,224.0,1200.0,-8.0,4.0,8.94427190999916,MULTIPLE,multiple,MULTIPLE,multiple,False
14,1,14,B,270.0,1195.0,261.0,1200.0,-9.0,5.0,10.295630140987,MULTIPLE,multiple,MULTIPLE,multiple,False
14,1,14,C,302.0,1196.0,294.0,1200.0,-8.0,4.0,8.94427190999916,MULTIPLE,multiple,MULTIPLE,multiple,False
14,1,14,D,337.0,1194.0,330.0,1200.0,-7.0,6.0,9.219544457292887,MULTIPLE,multiple,MULTIPLE,multiple,False
15,1,15,A,232.0,1223.0,224.0,1227.0,-8.0,4.0,8.94427190999916,A,answered,A,answered,False
15,1,15,B,270.0,1223.0,259.0,1228.0,-11.0,5.0,12.083045973594572,A,answered,A,answered,False
15,1,15,C,303.0,1222.0,294.0,1227.0,-9.0,5.0,10.295630140987,A,answered,A,answered,False
15,1,15,D,338.0,1222.0,329.0,1228.0,-9.0,6.0,10.816653826391969,A,answered,A,answered,False
16,1,16,A,232.0,1251.0,224.0,1257.0,-8.0,6.0,10.0,A,answered,A,answered,False
16,1,16,B,268.0,1251.0,260.0,1257.0,-8.0,6.0,10.0,A,answered,A,answered,False
16,1,16,C,303.0,1251.0,294.0,1256.0,-9.0,5.0,10.295630140987,A,answered,A,answered,False
16,1,16,D,338.0,1250.0,330.0,1256.0,-8.0,6.0,10.0,A,answered,A,answered,False
17,1,17,A,232.0,1280.0,224.0,1286.0,-8.0,6.0,10.0,,blank,,ambiguous,True
17,1,17,B,271.0,1280.0,260.0,1286.0,-11.0,6.0,12.529964086141668,,blank,,ambiguous,True
17,1,17,C,302.0,1280.0,294.0,1286.0,-8.0,6.0,10.0,,blank,,ambiguous,True
17,1,17,D,338.0,1279.0,329.0,1286.0,-9.0,7.0,11.40175425099138,,blank,,ambiguous,True
18,1,18,A,232.0,1307.0,224.0,1314.0,-8.0,7.0,10.63014581273465,B,answered,B,answered,False
18,1,18,B,271.0,1306.0,261.0,1314.0,-10.0,8.0,12.806248474865697,B,answered,B,answered,False
18,1,18,C,303.0,1306.0,293.0,1313.0,-10.0,7.0,12.206555615733702,B,answered,B,answered,False
18,1,18,D,338.0,1306.0,329.0,1313.0,-9.0,7.0,11.40175425099138,B,answered,B,answered,False
19,1,19,A,232.0,1335.0,224.0,1342.0,-8.0,7.0,10.63014581273465,A,answered,A,answered,False
19,1,19,B,269.0,1334.0,260.0,1342.0,-9.0,8.0,12.041594578792296,A,answered,A,answered,False
19,1,19,C,302.0,1334.0,294.0,1342.0,-8.0,8.0,11.313708498984761,A,answered,A,answered,False
19,1,19,D,338.0,1334.0,330.0,1342.0,-8.0,8.0,11.313708498984761,A,answered,A,answered,False
20,1,20,A,232.0,1363.0,224.0,1371.0,-8.0,8.0,11.313708498984761,A,answered,A,answered,False
20,1,20,B,269.0,1363.0,260.0,1370.0,-9.0,7.0,11.40175425099138,A,answered,A,answered,False
20,1,20,C,302.0,1362.0,294.0,1370.0,-8.0,8.0,11.313708498984761,A,answered,A,answered,False
20,1,20,D,338.0,1361.0,329.0,1370.0,-9.0,9.0,12.727922061357855,A,answered,A,answered,False
21,1,21,A,232.0,1391.0,224.0,1400.0,-8.0,9.0,12.041594578792296,A,answered,A,answered,False
21,1,21,B,270.0,1391.0,260.0,1400.0,-10.0,9.0,13.45362404707371,A,answered,A,answered,False
21,1,21,C,303.0,1390.0,294.0,1399.0,-9.0,9.0,12.727922061357855,A,answered,A,answered,False
21,1,21,D,338.0,1389.0,329.0,1399.0,-9.0,10.0,13.45362404707371,A,answered,A,answered,False
22,1,22,A,232.0,1419.0,224.0,1428.0,-8.0,9.0,12.041594578792296,B,answered,B,answered,False
22,1,22,B,270.0,1420.0,260.0,1428.0,-10.0,8.0,12.806248474865697,B,answered,B,answered,False
22,1,22,C,303.0,1419.0,294.0,1428.0,-9.0,9.0,12.727922061357855,B,answered,B,answered,False
22,1,22,D,338.0,1418.0,328.0,1428.0,-10.0,10.0,14.142135623730951,B,answered,B,answered,False
23,1,23,A,232.0,1448.0,224.0,1456.0,-8.0,8.0,11.313708498984761,A,answered,A,answered,False
23,1,23,B,270.0,1448.0,259.0,1456.0,-11.0,8.0,13.601470508735444,A,answered,A,answered,False
23,1,23,C,303.0,1446.0,293.0,1456.0,-10.0,10.0,14.142135623730951,A,answered,A,answered,False
23,1,23,D,338.0,1446.0,328.0,1456.0,-10.0,10.0,14.142135623730951,A,answered,A,answered,False
24,1,24,A,232.0,1475.0,224.0,1485.0,-8.0,10.0,12.806248474865697,C,answered,C,answered,False
24,1,24,B,270.0,1475.0,259.0,1485.0,-11.0,10.0,14.866068747318506,C,answered,C,answered,False
24,1,24,C,303.0,1474.0,294.0,1484.0,-9.0,10.0,13.45362404707371,C,answered,C,answered,False
24,1,24,D,338.0,1473.0,328.0,1485.0,-10.0,12.0,15.620499351813308,C,answered,C,answered,False
25,1,25,A,232.0,1504.0,224.0,1514.0,-8.0,10.0,12.806248474865697,A,answered,A,answered,False
25,1,25,B,270.0,1504.0,259.0,1514.0,-11.0,10.0,14.866068747318506,A,answered,A,answered,False
25,1,25,C,303.0,1504.0,293.0,1514.0,-10.0,10.0,14.142135623730951,A,answered,A,answered,False
25,1,25,D,338.0,1502.0,328.0,1514.0,-10.0,12.0,15.620499351813308,A,answered,A,answered,False
26,1,26,A,232.0,1532.0,224.0,1543.0,-8.0,11.0,13.601470508735444,A,answered,A,answered,False
26,1,26,B,270.0,1531.0,258.0,1542.0,-12.0,11.0,16.278820596099706,A,answered,A,answered,False
26,1,26,C,303.0,1531.0,293.0,1542.0,-10.0,11.0,14.866068747318506,A,answered,A,answered,False
26,1,26,D,337.0,1531.0,328.0,1542.0,-9.0,11.0,14.212670403551895,A,answered,A,answered,False
27,1,27,A,232.0,1559.0,223.0,1571.0,-9.0,12.0,15.0,,blank,,ambiguous,True
27,1,27,B,270.0,1559.0,258.0,1571.0,-12.0,12.0,16.97056274847714,,blank,,ambiguous,True
27,1,27,C,303.0,1559.0,292.0,1570.0,-11.0,11.0,15.556349186104045,,blank,,ambiguous,True
27,1,27,D,337.0,1559.0,328.0,1570.0,-9.0,11.0,14.212670403551895,,blank,,ambiguous,True
28,1,28,A,232.0,1589.0,222.0,1600.0,-10.0,11.0,14.866068747318506,B,answered,B,answered,False
28,1,28,B,271.0,1589.0,260.0,1600.0,-11.0,11.0,15.556349186104045,B,answered,B,answered,False
28,1,28,C,304.0,1589.0,292.0,1600.0,-12.0,11.0,16.278820596099706,B,answered,B,answered,False
28,1,28,D,337.0,1589.0,328.0,1600.0,-9.0,11.0,14.212670403551895,B,answered,B,answered,False
29,1,29,A,232.0,1617.0,224.0,1628.0,-8.0,11.0,13.601470508735444,A,answered,A,answered,False
29,1,29,B,271.0,1617.0,258.0,1628.0,-13.0,11.0,17.029386365926403,A,answered,A,answered,False
29,1,29,C,304.0,1617.0,292.0,1628.0,-12.0,11.0,16.278820596099706,A,answered,A,answered,False
29,1,29,D,337.0,1617.0,328.0,1628.0,-9.0,11.0,14.212670403551895,A,answered,A,answered,False
30,1,30,A,232.0,1647.0,223.0,1658.0,-9.0,11.0,14.212670403551895,A,answered,A,answered,False
30,1,30,B,270.0,1647.0,258.0,1657.0,-12.0,10.0,15.620499351813308,A,answered,A,answered,False
30,1,30,C,303.0,1647.0,292.0,1657.0,-11.0,10.0,14.866068747318506,A,answered,A,answered,False
30,1,30,D,337.0,1647.0,328.0,1656.0,-9.0,9.0,12.727922061357855,A,answered,A,answered,False
31,1,31,A,232.0,1678.0,221.0,1687.0,-11.0,9.0,14.212670403551895,A,answered,A,answered,False
31,1,31,B,270.0,1678.0,258.0,1686.0,-12.0,8.0,14.422205101855956,A,answered,A,answered,False
31,1,31,C,303.0,1678.0,292.0,1686.0,-11.0,8.0,13.601470508735444,A,answered,A,answered,False
31,1,31,D,337.0,1678.0,328.0,1686.0,-9.0,8.0,12.041594578792296,A,answered,A,answered,False
32,1,32,A,232.0,1707.0,222.0,1715.0,-10.0,8.0,12.806248474865697,B,answered,B,answered,False
32,1,32,B,270.0,1707.0,258.0,1715.0,-12.0,8.0,14.422205101855956,B,answered,B,answered,False
32,1,32,C,303.0,1707.0,292.0,1715.0,-11.0,8.0,13.601470508735444,B,answered,B,answered,False
32,1,32,D,338.0,1707.0,327.0,1714.0,-11.0,7.0,13.038404810405298,B,answered,B,answered,False
33,1,33,A,232.0,1747.0,221.0,1744.0,-11.0,-3.0,11.40175425099138,C,answered,A,answered,True
33,1,33,B,268.0,1747.0,257.0,1744.0,-11.0,-3.0,11.40175425099138,C,answered,A,answered,True
33,1,33,C,304.0,1747.0,291.0,1743.0,-13.0,-4.0,13.601470508735444,C,answered,A,answered,True
33,1,33,D,338.0,1747.0,326.0,1743.0,-12.0,-4.0,12.649110640673518,C,answered,A,answered,True
34,1,34,A,232.0,1784.0,221.0,1773.0,-11.0,-11.0,15.556349186104045,A,answered,MULTIPLE,multiple,True
34,1,34,B,268.0,1784.0,256.0,1772.0,-12.0,-12.0,16.97056274847714,A,answered,MULTIPLE,multiple,True
34,1,34,C,302.0,1784.0,291.0,1773.0,-11.0,-11.0,15.556349186104045,A,answered,MULTIPLE,multiple,True
34,1,34,D,338.0,1783.0,326.0,1772.0,-12.0,-11.0,16.278820596099706,A,answered,MULTIPLE,multiple,True
35,1,35,A,232.0,1812.0,220.0,1800.0,-12.0,-12.0,16.97056274847714,B,answered,A,answered,True
35,1,35,B,268.0,1814.0,256.0,1800.0,-12.0,-14.0,18.439088914585774,B,answered,A,answered,True
35,1,35,C,302.0,1812.0,290.0,1800.0,-12.0,-12.0,16.97056274847714,B,answered,A,answered,True
35,1,35,D,338.0,1812.0,326.0,1800.0,-12.0,-12.0,16.97056274847714,B,answered,A,answered,True
36,1,36,A,232.0,1842.0,220.0,1830.0,-12.0,-12.0,16.97056274847714,A,answered,B,answered,True
36,1,36,B,268.0,1842.0,256.0,1830.0,-12.0,-12.0,16.97056274847714,A,answered,B,answered,True
36,1,36,C,302.0,1842.0,290.0,1830.0,-12.0,-12.0,16.97056274847714,A,answered,B,answered,True
36,1,36,D,337.0,1841.0,326.0,1830.0,-11.0,-11.0,15.556349186104045,A,answered,B,answered,True
37,1,37,A,232.0,1868.0,220.0,1859.0,-12.0,-9.0,15.0,A,answered,A,answered,False
37,1,37,B,268.0,1869.0,255.0,1859.0,-13.0,-10.0,16.401219466856727,A,answered,A,answered,False
37,1,37,C,302.0,1868.0,289.0,1859.0,-13.0,-9.0,15.811388300841896,A,answered,A,answered,False
37,1,37,D,337.0,1868.0,326.0,1859.0,-11.0,-9.0,14.212670403551895,A,answered,A,answered,False
38,1,38,A,232.0,1897.0,222.0,1887.0,-10.0,-10.0,14.142135623730951,A,answered,A,answered,False
38,1,38,B,268.0,1898.0,256.0,1886.0,-12.0,-12.0,16.97056274847714,A,answered,A,answered,False
38,1,38,C,302.0,1897.0,290.0,1887.0,-12.0,-10.0,15.620499351813308,A,answered,A,answered,False
38,1,38,D,336.0,1897.0,324.0,1886.0,-12.0,-11.0,16.278820596099706,A,answered,A,answered,False
39,1,39,A,232.0,1926.0,222.0,1916.0,-10.0,-10.0,14.142135623730951,A,answered,A,answered,False
39,1,39,B,268.0,1927.0,256.0,1916.0,-12.0,-11.0,16.278820596099706,A,answered,A,answered,False
39,1,39,C,302.0,1926.0,289.0,1916.0,-13.0,-10.0,16.401219466856727,A,answered,A,answered,False
39,1,39,D,336.0,1926.0,325.0,1916.0,-11.0,-10.0,14.866068747318506,A,answered,A,answered,False
40,1,40,A,232.0,1954.0,222.0,1946.0,-10.0,-8.0,12.806248474865697,A,answered,A,answered,False
40,1,40,B,268.0,1954.0,256.0,1946.0,-12.0,-8.0,14.422205101855956,A,answered,A,answered,False
40,1,40,C,302.0,1954.0,290.0,1946.0,-12.0,-8.0,14.422205101855956,A,answered,A,answered,False
40,1,40,D,337.0,1954.0,326.0,1946.0,-11.0,-8.0,13.601470508735444,A,answered,A,answered,False
41,1,41,A,232.0,1980.0,222.0,1974.0,-10.0,-6.0,11.661903789690601,A,answered,A,answered,False
41,1,41,B,268.0,1980.0,256.0,1974.0,-12.0,-6.0,13.416407864998739,A,answered,A,answered,False
41,1,41,C,302.0,1980.0,290.0,1974.0,-12.0,-6.0,13.416407864998739,A,answered,A,answered,False
41,1,41,D,339.0,1980.0,326.0,1974.0,-13.0,-6.0,14.317821063276353,A,answered,A,answered,False
42,1,42,A,232.0,2009.0,222.0,2003.0,-10.0,-6.0,11.661903789690601,B,answered,A,answered,True
42,1,42,B,271.0,2009.0,256.0,2004.0,-15.0,-5.0,15.811388300841896,B,answered,A,answered,True
42,1,42,C,301.0,2009.0,290.0,2003.0,-11.0,-6.0,12.529964086141668,B,answered,A,answered,True
42,1,42,D,336.0,2009.0,326.0,2002.0,-10.0,-7.0,12.206555615733702,B,answered,A,answered,True
43,1,43,A,232.0,2038.0,222.0,2032.0,-10.0,-6.0,11.661903789690601,A,answered,B,answered,True
43,1,43,B,267.0,2039.0,258.0,2033.0,-9.0,-6.0,10.816653826391969,A,answered,B,answered,True
43,1,43,C,302.0,2038.0,291.0,2032.0,-11.0,-6.0,12.529964086141668,A,answered,B,answered,True
43,1,43,D,336.0,2038.0,326.0,2032.0,-10.0,-6.0,11.661903789690601,A,answered,B,answered,True
44,1,44,A,232.0,2067.0,222.0,2060.0,-10.0,-7.0,12.206555615733702,A,answered,A,answered,False
44,1,44,B,268.0,2068.0,257.0,2060.0,-11.0,-8.0,13.601470508735444,A,answered,A,answered,False
44,1,44,C,302.0,2066.0,290.0,2060.0,-12.0,-6.0,13.416407864998739,A,answered,A,answered,False
44,1,44,D,336.0,2067.0,326.0,2060.0,-10.0,-7.0,12.206555615733702,A,answered,A,answered,False
45,1,45,A,232.0,2090.0,222.0,2090.0,-10.0,0.0,10.0,A,answered,A,answered,False
45,1,45,B,271.0,2090.0,257.0,2089.0,-14.0,-1.0,14.035668847618199,A,answered,A,answered,False
45,1,45,C,305.0,2090.0,291.0,2089.0,-14.0,-1.0,14.035668847618199,A,answered,A,answered,False
45,1,45,D,339.0,2090.0,326.0,2090.0,-13.0,0.0,13.0,A,answered,A,answered,False
46,2,1,A,591.0,824.0,586.0,824.0,-5.0,0.0,5.0,B,answered,B,answered,False
46,2,1,B,628.0,833.0,619.0,826.0,-9.0,-7.0,11.40175425099138,B,answered,B,answered,False
46,2,1,C,662.0,827.0,657.0,827.0,-5.0,0.0,5.0,B,answered,B,answered,False
46,2,1,D,696.0,826.0,692.0,826.0,-4.0,0.0,4.0,B,answered,B,answered,False
47,2,2,A,592.0,854.0,586.0,856.0,-6.0,2.0,6.324555320336759,C,answered,C,answered,False
47,2,2,B,628.0,863.0,622.0,856.0,-6.0,-7.0,9.219544457292887,C,answered,C,answered,False
47,2,2,C,664.0,863.0,656.0,856.0,-8.0,-7.0,10.63014581273465,C,answered,C,answered,False
47,2,2,D,698.0,856.0,692.0,856.0,-6.0,0.0,6.0,C,answered,C,answered,False
48,2,3,A,594.0,891.0,586.0,884.0,-8.0,-7.0,10.63014581273465,A,answered,A,answered,False
48,2,3,B,628.0,883.0,622.0,884.0,-6.0,1.0,6.082762530298219,A,answered,A,answered,False
48,2,3,C,664.0,882.0,658.0,884.0,-6.0,2.0,6.324555320336759,A,answered,A,answered,False
48,2,3,D,698.0,882.0,692.0,884.0,-6.0,2.0,6.324555320336759,A,answered,A,answered,False
49,2,4,A,592.0,912.0,586.0,913.0,-6.0,1.0,6.082762530298219,B,answered,B,answered,False
49,2,4,B,628.0,912.0,622.0,914.0,-6.0,2.0,6.324555320336759,B,answered,B,answered,False
49,2,4,C,664.0,912.0,658.0,914.0,-6.0,2.0,6.324555320336759,B,answered,B,answered,False
49,2,4,D,698.0,911.0,693.0,913.0,-5.0,2.0,5.385164807134504,B,answered,B,answered,False
50,2,5,A,593.0,940.0,587.0,942.0,-6.0,2.0,6.324555320336759,A,answered,A,answered,False
50,2,5,B,628.0,940.0,622.0,942.0,-6.0,2.0,6.324555320336759,A,answered,A,answered,False
50,2,5,C,664.0,941.0,658.0,943.0,-6.0,2.0,6.324555320336759,A,answered,A,answered,False
50,2,5,D,698.0,940.0,692.0,942.0,-6.0,2.0,6.324555320336759,A,answered,A,answered,False
51,2,6,A,592.0,968.0,586.0,970.0,-6.0,2.0,6.324555320336759,B,answered,B,answered,False
51,2,6,B,628.0,967.0,622.0,970.0,-6.0,3.0,6.708203932499369,B,answered,B,answered,False
51,2,6,C,664.0,966.0,658.0,970.0,-6.0,4.0,7.211102550927978,B,answered,B,answered,False
51,2,6,D,698.0,966.0,692.0,970.0,-6.0,4.0,7.211102550927978,B,answered,B,answered,False
52,2,7,A,593.0,996.0,586.0,1000.0,-7.0,4.0,8.06225774829855,A,answered,A,answered,False
52,2,7,B,629.0,996.0,622.0,1000.0,-7.0,4.0,8.06225774829855,A,answered,A,answered,False
52,2,7,C,664.0,996.0,658.0,1000.0,-6.0,4.0,7.211102550927978,A,answered,A,answered,False
52,2,7,D,698.0,995.0,693.0,1000.0,-5.0,5.0,7.0710678118654755,A,answered,A,answered,False
53,2,8,A,593.0,1025.0,586.0,1030.0,-7.0,5.0,8.602325267042627,A,answered,A,answered,False
53,2,8,B,629.0,1025.0,622.0,1029.0,-7.0,4.0,8.06225774829855,A,answered,A,answered,False
53,2,8,C,664.0,1024.0,658.0,1029.0,-6.0,5.0,7.810249675906654,A,answered,A,answered,False
53,2,8,D,698.0,1024.0,693.0,1030.0,-5.0,6.0,7.810249675906654,A,answered,A,answered,False
54,2,9,A,594.0,1052.0,587.0,1058.0,-7.0,6.0,9.219544457292887,A,answered,A,answered,False
54,2,9,B,629.0,1051.0,622.0,1057.0,-7.0,6.0,9.219544457292887,A,answered,A,answered,False
54,2,9,C,664.0,1051.0,658.0,1057.0,-6.0,6.0,8.48528137423857,A,answered,A,answered,False
54,2,9,D,698.0,1050.0,694.0,1057.0,-4.0,7.0,8.06225774829855,A,answered,A,answered,False
55,2,10,A,594.0,1080.0,588.0,1086.0,-6.0,6.0,8.48528137423857,A,answered,A,answered,False
55,2,10,B,629.0,1080.0,624.0,1086.0,-5.0,6.0,7.810249675906654,A,answered,A,answered,False
55,2,10,C,664.0,1080.0,658.0,1086.0,-6.0,6.0,8.48528137423857,A,answered,A,answered,False
55,2,10,D,698.0,1079.0,694.0,1086.0,-4.0,7.0,8.06225774829855,A,answered,A,answered,False
56,2,11,A,594.0,1109.0,587.0,1116.0,-7.0,7.0,9.899494936611665,A,answered,A,answered,False
56,2,11,B,629.0,1108.0,622.0,1115.0,-7.0,7.0,9.899494936611665,A,answered,A,answered,False
56,2,11,C,664.0,1108.0,658.0,1116.0,-6.0,8.0,10.0,A,answered,A,answered,False
56,2,11,D,698.0,1107.0,694.0,1116.0,-4.0,9.0,9.848857801796104,A,answered,A,answered,False
57,2,12,A,594.0,1136.0,588.0,1143.0,-6.0,7.0,9.219544457292887,A,answered,A,answered,False
57,2,12,B,630.0,1135.0,624.0,1143.0,-6.0,8.0,10.0,A,answered,A,answered,False
57,2,12,C,664.0,1134.0,659.0,1143.0,-5.0,9.0,10.295630140987,A,answered,A,answered,False
57,2,12,D,698.0,1134.0,694.0,1143.0,-4.0,9.0,9.848857801796104,A,answered,A,answered,False
58,2,13,A,594.0,1164.0,588.0,1173.0,-6.0,9.0,10.816653826391969,A,answered,A,answered,False
58,2,13,B,630.0,1163.0,624.0,1172.0,-6.0,9.0,10.816653826391969,A,answered,A,answered,False
58,2,13,C,664.0,1164.0,659.0,1172.0,-5.0,8.0,9.433981132056603,A,answered,A,answered,False
58,2,13,D,701.0,1164.0,694.0,1172.0,-7.0,8.0,10.63014581273465,A,answered,A,answered,False
59,2,14,A,595.0,1212.0,588.0,1201.0,-7.0,-11.0,13.038404810405298,A,answered,B,answered,True
59,2,14,B,629.0,1212.0,624.0,1202.0,-5.0,-10.0,11.180339887498949,A,answered,B,answered,True
59,2,14,C,665.0,1212.0,659.0,1201.0,-6.0,-11.0,12.529964086141668,A,answered,B,answered,True
59,2,14,D,701.0,1212.0,694.0,1201.0,-7.0,-11.0,13.038404810405298,A,answered,B,answered,True
60,2,15,A,595.0,1240.0,588.0,1228.0,-7.0,-12.0,13.892443989449804,A,answered,A,answered,False
60,2,15,B,629.0,1240.0,624.0,1228.0,-5.0,-12.0,13.0,A,answered,A,answered,False
60,2,15,C,665.0,1240.0,659.0,1229.0,-6.0,-11.0,12.529964086141668,A,answered,A,answered,False
60,2,15,D,701.0,1240.0,694.0,1228.0,-7.0,-12.0,13.892443989449804,A,answered,A,answered,False
61,2,16,A,595.0,1269.0,588.0,1258.0,-7.0,-11.0,13.038404810405298,A,answered,A,answered,False
61,2,16,B,629.0,1269.0,624.0,1257.0,-5.0,-12.0,13.0,A,answered,A,answered,False
61,2,16,C,665.0,1269.0,659.0,1257.0,-6.0,-12.0,13.416407864998739,A,answered,A,answered,False
61,2,16,D,701.0,1269.0,694.0,1258.0,-7.0,-11.0,13.038404810405298,A,answered,A,answered,False
62,2,17,A,595.0,1299.0,588.0,1287.0,-7.0,-12.0,13.892443989449804,A,answered,A,answered,False
62,2,17,B,629.0,1299.0,624.0,1286.0,-5.0,-13.0,13.92838827718412,A,answered,A,answered,False
62,2,17,C,665.0,1299.0,659.0,1286.0,-6.0,-13.0,14.317821063276353,A,answered,A,answered,False
62,2,17,D,701.0,1299.0,694.0,1286.0,-7.0,-13.0,14.7648230602334,A,answered,A,answered,False
63,2,18,A,595.0,1326.0,588.0,1314.0,-7.0,-12.0,13.892443989449804,A,answered,A,answered,False
63,2,18,B,629.0,1326.0,624.0,1314.0,-5.0,-12.0,13.0,A,answered,A,answered,False
63,2,18,C,665.0,1326.0,659.0,1314.0,-6.0,-12.0,13.416407864998739,A,answered,A,answered,False
63,2,18,D,701.0,1326.0,694.0,1314.0,-7.0,-12.0,13.892443989449804,A,answered,A,answered,False
